3	7	1180	0	1955	0	98178	221900
3	7	2170	400	1951	1991	98125	538000
3	6	770	0	1933	0	98028	180000
5	7	1050	910	1965	0	98136	604000
3	8	1680	0	1987	0	98074	510000
3	11	3890	1530	2001	0	98053	122500000
3	7	1715	0	1995	0	98003	257500
3	7	1060	0	1963	0	98198	291850
3	7	1050	730	1960	0	98146	229500
3	7	1890	0	2003	0	98038	323000
3	8	1860	1700	1965	0	98007	662500
4	7	860	300	1942	0	98115	468000
4	7	1430	0	1927	0	98028	310000
4	7	1370	0	1977	0	98074	400000
3	7	1810	0	1900	0	98107	530000
3	9	1980	970	1979	0	98126	650000
3	7	1890	0	1994	0	98019	395000
4	7	1600	0	1916	0	98103	485000
4	7	1200	0	1921	0	98002	189000
4	7	1250	0	1969	0	98003	230000
4	7	860	760	1947	0	98133	385000
3	9	2330	720	1968	0	98040	2e+006
3	8	2270	0	1995	0	98092	285000
3	7	1070	0	1985	0	98030	252700
4	8	2450	0	1985	0	98030	329000
5	6	1710	0	1941	0	98002	233000
3	8	1750	700	1915	0	98119	937000
5	8	1400	0	1909	0	98112	667000
3	7	790	730	1948	0	98115	438000
3	8	2570	0	2005	0	98052	719000
3	8	2320	0	2003	0	98027	580500
3	7	1190	0	2005	0	98133	280000
4	7	1510	820	1929	0	98117	687500
4	8	1090	0	1929	0	98117	535000
3	7	1280	780	1981	0	98058	322500
3	8	1510	790	1930	2002	98115	696000
1	5	930	730	1933	0	98052	550000
4	8	2360	0	1904	0	98107	640000
2	7	890	330	1969	0	98001	240000
3	8	2620	0	1996	0	98056	605000
3	9	2570	0	2000	0	98074	625000
3	8	2600	1620	1984	0	98166	775000
3	9	3595	0	2014	0	98053	861990
3	7	1570	0	1922	0	98119	685000
4	6	920	360	1959	0	98058	309000
3	8	3160	0	2003	0	98019	488000
3	6	990	0	1966	0	98023	210490
4	9	2290	0	1981	0	98007	785000
4	7	1250	0	1953	0	98115	450000
5	9	2165	588	1953	0	98070	13500000
3	7	1190	0	1955	0	98148	228000
4	8	1640	1510	1966	0	98056	345000
4	7	1000	410	1950	0	98117	600000
3	7	990	990	1981	0	98117	585000
3	8	2130	600	1927	0	98105	920000
3	9	2830	0	1995	0	98105	885000
3	7	2250	0	2008	0	98042	292500
3	8	2420	0	2003	0	98042	301000
4	8	3250	0	1968	0	98008	951000
3	8	1850	0	1991	0	98059	430000
4	8	1590	560	1959	0	98166	650000
3	7	1260	0	1954	0	98148	289000
5	8	2519	0	1973	0	98166	505000
3	8	1540	0	2014	0	98115	549000
3	7	1110	550	1979	0	98122	425000
5	7	1770	1000	1925	0	98144	317625
3	10	2720	0	1989	0	98004	975000
3	7	2240	0	2005	0	98001	287000
4	7	1000	0	1968	0	98042	204000
3	8	1600	1600	1965	0	98004	132500000
4	11	3070	1700	1973	0	98005	10400000
4	7	1260	0	1972	0	98034	325000
5	7	2250	500	1916	0	98125	571000
3	8	2380	0	2005	0	98038	360000
5	7	1090	700	1965	0	98042	349000
4	10	2390	1040	1986	0	98075	832500
3	7	880	880	1956	0	98008	380000
3	7	1040	0	1941	0	98116	480000
4	7	910	500	1956	0	98133	410000
3	10	3450	0	2002	0	98010	720000
3	8	2350	0	2003	0	98038	390000
3	7	1900	0	1992	0	98038	360000
3	7	1010	1010	1948	0	98118	355000
3	8	1680	0	1964	0	98059	356000
3	6	960	0	1952	0	98125	315000
3	9	1900	240	1925	0	98119	940000
5	7	2660	0	1961	0	98092	305000
3	9	1980	790	2006	0	98056	461000
4	7	1610	0	1979	0	98056	215000
3	7	765	265	2006	0	98136	335000
3	7	1980	0	1988	0	98023	243500
4	10	3520	0	2001	0	98199	10998800000
3	7	1200	0	1962	0	98023	153000
3	8	1290	290	1939	0	98117	430000
3	8	1290	290	1939	0	98117	700000
3	7	2390	910	1946	1991	98040	905000
3	7	1960	0	1967	0	98032	247500
4	7	1160	0	1975	0	98023	199000
